,REG,R
"VC_IQA(A,B)-n1_c2",-4.112480018085628,-0.4587863520685048
"VC_IQA(A,B)-n1_h3",-0.8882193878520003,-0.6254391047378675
"VC_IQA(A,B)-n1_h4",0.17081995106255893,0.03533362620052668
"VC_IQA(A,B)-n1_c5",-3.9075686290400915,-0.526130678723175
"VC_IQA(A,B)-n1_h6",-2.3366967410649013,-0.9589983622062344
"VC_IQA(A,B)-n1_h7",-1.1447674459634167,-0.3368826086502953
"VC_IQA(A,B)-n1_c8",-0.25242546321207354,-0.19298075038442042
"VC_IQA(A,B)-n1_h9",-1.433317533199101,-0.8241174084103597
"VC_IQA(A,B)-n1_h10",-0.1288812093495608,-0.06188107029950299
"VC_IQA(A,B)-n1_c11",-0.9007585678885036,-0.43035230341278236
"VC_IQA(A,B)-n1_h12",-0.463558454240514,-0.5744922632890939
"VC_IQA(A,B)-n1_h13",-0.22457870041903844,-0.657765430985027
"VC_IQA(A,B)-n1_s14",-2.860354320614922,-0.2758633660655558
"VC_IQA(A,B)-n1_s15",6.861661373583486,0.6048225434691462
"VC_IQA(A,B)-n1_c16",0.19051766877314166,0.7583289931651909
"VC_IQA(A,B)-n1_h17",-0.17885816655316147,-0.5331947707893862
"VC_IQA(A,B)-n1_h18",-0.1279185763458536,-0.45518550257620655
"VC_IQA(A,B)-n1_h19",-0.25796533660335386,-0.7634353940222108
"VC_IQA(A,B)-n1_c20",0.24346676175322926,0.5870595407025244
"VC_IQA(A,B)-n1_h21",-0.22954638506684621,-0.5133558755650746
"VC_IQA(A,B)-n1_h22",-0.14309167618240887,-0.5842203323923444
"VC_IQA(A,B)-n1_h23",0.062499238927931494,0.2910820347711335
"VC_IQA(A,B)-n1_o24",-3.583305642225399,-0.4191462355241844
"VC_IQA(A,B)-n1_o25",4.173481293937652,0.8130515971130994
"VC_IQA(A,B)-n1_o26",-4.876078676292532,-0.41371563881941154
"VC_IQA(A,B)-n1_o27",-3.3443350914956707,-0.7975509913378711
"VC_IQA(A,B)-n1_o28",2.8925643016553346,0.525502394602821
"VC_IQA(A,B)-n1_o29",4.664719446059777,0.7519932896573354
"VC_IQA(A,B)-n1_s30",-40.89359055573944,-0.656346474195433
"VC_IQA(A,B)-n1_o31",8.69463811368468,0.7047412179695408
"VC_IQA(A,B)-n1_o32",7.1976401791519224,0.5678736751613307
"VC_IQA(A,B)-n1_c33",-0.4537270922174677,-0.43481891486048724
"VC_IQA(A,B)-n1_h34",0.5996821068639524,0.17617636820892188
"VC_IQA(A,B)-n1_h35",-0.24275222353567763,-0.5813603604081964
"VC_IQA(A,B)-n1_h36",1.4886729426412924,0.3360757895552363
"VC_IQA(A,B)-c2_h3",0.4590050122920536,0.612005008746588
"VC_IQA(A,B)-c2_h4",-0.04413097048964858,-0.024244564854937586
"VC_IQA(A,B)-c2_c5",0.2523919650607606,0.2357534118199198
"VC_IQA(A,B)-c2_h6",0.690500237371297,0.974762751456545
"VC_IQA(A,B)-c2_h7",0.1999167938214273,0.2548883394936982
"VC_IQA(A,B)-c2_c8",0.20562513844992647,0.41798182304876924
"VC_IQA(A,B)-c2_h9",0.3763891239992609,0.7995391452643364
"VC_IQA(A,B)-c2_h10",0.025901142686159544,0.050816076048881414
"VC_IQA(A,B)-c2_c11",0.14117369162793172,0.18844603210076954
"VC_IQA(A,B)-c2_h12",0.17582000181362625,0.5668265529375778
"VC_IQA(A,B)-c2_h13",0.07289022274163327,0.5386912533904499
"VC_IQA(A,B)-c2_s14",2.4441944646455562,0.7195258655738199
"VC_IQA(A,B)-c2_s15",-1.7816900973234724,-0.7431723859077544
"VC_IQA(A,B)-c2_c16",-0.08830623054753138,-0.8824533332495123
"VC_IQA(A,B)-c2_h17",0.08702028444729504,0.7266038798116778
"VC_IQA(A,B)-c2_h18",0.06798512207337054,0.7058155153473982
"VC_IQA(A,B)-c2_h19",0.10768461723225636,0.8666223179504907
"VC_IQA(A,B)-c2_c20",-0.05722602310053492,-0.5579656494648039
"VC_IQA(A,B)-c2_h21",0.06109039541747639,0.45826831500540866
"VC_IQA(A,B)-c2_h22",0.032637703253859306,0.5134580540084733
"VC_IQA(A,B)-c2_h23",-0.041240734544653365,-0.5396990278640925
"VC_IQA(A,B)-c2_o24",0.4123602427578593,0.22049528093699128
"VC_IQA(A,B)-c2_o25",-2.0214946796799755,-0.9283892029600658
"VC_IQA(A,B)-c2_o26",1.3259235341088271,0.5018582455730424
"VC_IQA(A,B)-c2_o27",0.6105392838211334,0.5835983796731357
"VC_IQA(A,B)-c2_o28",-0.5503085812789179,-0.3800190235736937
"VC_IQA(A,B)-c2_o29",-2.003942424381608,-0.8180977346557338
"VC_IQA(A,B)-c2_s30",3.8364415737636692,0.5300345887267133
"VC_IQA(A,B)-c2_o31",-0.18361594867116177,-0.12716631385887678
"VC_IQA(A,B)-c2_o32",-0.6352452462807876,-0.2902936825595326
"VC_IQA(A,B)-c2_c33",0.07098022634650579,0.3945323784572832
"VC_IQA(A,B)-c2_h34",-0.1530346701894828,-0.1462386287972147
"VC_IQA(A,B)-c2_h35",0.05691277388637614,0.4376320096753745
"VC_IQA(A,B)-c2_h36",-0.3925484508121709,-0.3622729936264374
"VC_IQA(A,B)-h3_h4",0.060033699485974604,0.39059167872300066
"VC_IQA(A,B)-h3_c5",0.202023429432308,0.4746461462320434
"VC_IQA(A,B)-h3_h6",0.045813166926132264,0.7985876519110894
"VC_IQA(A,B)-h3_h7",0.046939171811770944,0.7936154043967755
