,REG,R
"VC_IQA(A,B)-n1_c2",1.8580126365149408,0.9233498339604803
"VC_IQA(A,B)-n1_h3",-0.19025692336824468,-0.8453212519327983
"VC_IQA(A,B)-n1_h4",-1.180435671857602,-0.6709863479739814
"VC_IQA(A,B)-n1_c5",2.007217930532796,0.8729030064397292
"VC_IQA(A,B)-n1_h6",-0.32764253129087956,-0.42415251041460905
"VC_IQA(A,B)-n1_h7",0.5870875020002326,0.7968389627886394
"VC_IQA(A,B)-n1_c8",0.5310108149499861,0.8677706588119295
"VC_IQA(A,B)-n1_h9",0.5277452108919363,0.7784246361169989
"VC_IQA(A,B)-n1_h10",0.0956945881738604,0.8354971781058973
"VC_IQA(A,B)-n1_c11",-0.027229967774637404,-0.11935275818136419
"VC_IQA(A,B)-n1_h12",0.061548630998381704,0.6427406458754238
"VC_IQA(A,B)-n1_h13",0.5548193954712306,0.6752977914720274
"VC_IQA(A,B)-n1_n14",0.16617422987847377,0.19023815895547566
"VC_IQA(A,B)-n1_h15",0.08776146288286259,0.22670225124322652
"VC_IQA(A,B)-n1_n16",-1.3506747416729457,-0.8899432013514381
"VC_IQA(A,B)-n1_h17",-2.7427547927177733,-0.7451927329480336
"VC_IQA(A,B)-n1_s18",12.907555138695042,0.8029907870941829
"VC_IQA(A,B)-n1_s19",-0.20982834459773075,-0.1342750948851549
"VC_IQA(A,B)-n1_c20",0.03243781088636687,0.6813768377580367
"VC_IQA(A,B)-n1_h21",0.19149432897194943,0.803773127474481
"VC_IQA(A,B)-n1_h22",0.07436739151608043,0.7668565979274083
"VC_IQA(A,B)-n1_h23",-0.04323664800905001,-0.5373852888965885
"VC_IQA(A,B)-n1_c24",-0.10686147797595115,-0.5245548278075272
"VC_IQA(A,B)-n1_h25",0.2882631286094523,0.5708319586920391
"VC_IQA(A,B)-n1_h26",-0.07966731030264254,-0.8738812436133065
"VC_IQA(A,B)-n1_h27",-0.10932999262570757,-0.8657998614306501
"VC_IQA(A,B)-n1_o28",-5.503940268232837,-0.8037542556591448
"VC_IQA(A,B)-n1_o29",-7.615767925022688,-0.798265814111281
"VC_IQA(A,B)-n1_o30",0.5311204141850572,0.25810687226981077
"VC_IQA(A,B)-n1_o31",-0.09411444731496553,-0.3044555037485959
"VC_IQA(A,B)-n1_s32",10.858047984997937,0.8799014303183991
"VC_IQA(A,B)-n1_o33",-2.2127233294454474,-0.8896966552259725
"VC_IQA(A,B)-n1_o34",-2.6999353719250063,-0.89747874212432
"VC_IQA(A,B)-n1_c35",-0.0024164640082710203,-0.03800168415223762
"VC_IQA(A,B)-n1_h36",-0.0692256162921797,-0.6982414849255791
"VC_IQA(A,B)-n1_h37",-0.02123652586224296,-0.277404183518204
"VC_IQA(A,B)-n1_h38",0.6580442798736771,0.870967510910413
"VC_IQA(A,B)-c2_h3",-0.10336095636307112,-0.42947823576982785
"VC_IQA(A,B)-c2_h4",0.5621496677189809,0.7202769782202186
"VC_IQA(A,B)-c2_c5",-0.4260277367360302,-0.8442834315805567
"VC_IQA(A,B)-c2_h6",0.12235101758870709,0.46517782013103587
"VC_IQA(A,B)-c2_h7",-0.13070830318321808,-0.7974037588540285
"VC_IQA(A,B)-c2_c8",-0.3684404223960749,-0.8352872284284995
"VC_IQA(A,B)-c2_h9",-0.15665606341962462,-0.7876134241050244
"VC_IQA(A,B)-c2_h10",-0.04060091443846522,-0.8217100424613598
"VC_IQA(A,B)-c2_c11",-0.5581666109608908,-0.9148613383726882
"VC_IQA(A,B)-c2_h12",-0.0009605082816873403,-0.01890093743596452
"VC_IQA(A,B)-c2_h13",-0.2728768700079071,-0.734576921241949
"VC_IQA(A,B)-c2_n14",0.7648071216484851,0.7640581994741703
"VC_IQA(A,B)-c2_h15",-0.34630516281731216,-0.7569675145615071
"VC_IQA(A,B)-c2_n16",1.2501391500979457,0.834797244089531
"VC_IQA(A,B)-c2_h17",0.18666176267805054,0.5062825960097852
"VC_IQA(A,B)-c2_s18",-5.1093723297312845,-0.8003512127174572
"VC_IQA(A,B)-c2_s19",-0.6350388821689118,-0.7032144849197933
"VC_IQA(A,B)-c2_c20",0.019331996322345033,0.8221468381690612
"VC_IQA(A,B)-c2_h21",-0.0764713786054167,-0.8038136322266424
"VC_IQA(A,B)-c2_h22",-0.04644273346702714,-0.7851314399910544
"VC_IQA(A,B)-c2_h23",-0.010329662828218513,-0.8299382610578304
"VC_IQA(A,B)-c2_c24",0.06884098559407523,0.6780456703799856
"VC_IQA(A,B)-c2_h25",-0.12188347036553421,-0.6193197754852425
"VC_IQA(A,B)-c2_h26",0.009820723674732225,0.5202638627222598
"VC_IQA(A,B)-c2_h27",0.01981469255903501,0.7735414495295271
"VC_IQA(A,B)-c2_o28",2.644864752332294,0.7979591971794463
"VC_IQA(A,B)-c2_o29",2.43852798530921,0.7969985618783959
"VC_IQA(A,B)-c2_o30",-0.08605460031414831,-0.1057372848421919
"VC_IQA(A,B)-c2_o31",0.3795946568924552,0.8276709626724659
"VC_IQA(A,B)-c2_s32",-2.5751271597642247,-0.8432249084763591
"VC_IQA(A,B)-c2_o33",0.8975220678270596,0.8118218981042452
"VC_IQA(A,B)-c2_o34",0.5692868019250286,0.8480319646187153
"VC_IQA(A,B)-c2_c35",0.09019451832169685,0.8252319777055034
"VC_IQA(A,B)-c2_h36",-0.01979382050108763,-0.8102015853017508
"VC_IQA(A,B)-c2_h37",-0.04492359246383693,-0.611162814772391
"VC_IQA(A,B)-c2_h38",-0.2239002852647955,-0.8503634911733141
"VC_IQA(A,B)-h3_h4",0.11524680739221675,0.884524102392118
"VC_IQA(A,B)-h3_c5",0.07403889579829649,0.9196711244365459
"VC_IQA(A,B)-h3_h6",0.0019820501309906857,0.4275096178169644
"VC_IQA(A,B)-h3_h7",0.009979629187321608,0.8324643429410519
"VC_IQA(A,B)-h3_c8",0.06757950890914274,0.9553400750802483
"VC_IQA(A,B)-h3_h9",0.0025954396773519997,0.34782338907180504
"VC_IQA(A,B)-h3_h10",0.004255328085328368,0.9480063855793394
"VC_IQA(A,B)-h3_c11",0.01662413426484345,0.17982707319454244
"VC_IQA(A,B)-h3_h12",0.010078487094763194,0.8862871562158918
"VC_IQA(A,B)-h3_h13",-0.00031775348680232327,-0.00924683262498767
"VC_IQA(A,B)-h3_n14",-0.25089837812024723,-0.8625384578470159
"VC_IQA(A,B)-h3_h15",0.017703504245388493,0.21970575848601423
