,REG,R
E_IQA_Intra(A)-G6,-10.568945106783037,-0.8900175675881746
E_IQA_Intra(A)-G7,0.040323450487342656,0.10119259672390846
E_IQA_Intra(A)-G5,-0.9932305700626922,-0.8400069256119821
E_IQA_Intra(A)-G4,-0.8310959429192434,-0.7810370726706198
E_IQA_Intra(A)-G8,-0.7477181018412664,-0.8455628368249803
E_IQA_Intra(A)-G9,-2.0454685087830833,-0.9726799001355644
E_IQA_Intra(A)-G3,-5.080601344736894,-0.7858957717491409
E_IQA_Intra(A)-G2,-12.383518685358245,-0.7691508679970258
E_IQA_Intra(A)-G10,-4.4867661755142905,-0.9737821387666648
E_IQA_Intra(A)-G1,-0.08647528894293975,-0.7320125242751441
E_IQA_Intra(A)-G11,-0.1951923665777608,-0.598214614433995
