,REG,R
"VC_IQA(A,B)-n1_h2",0.5706170677278404,0.9958068025552692
"VC_IQA(A,B)-n1_c3",0.72791274030693,0.93969290418719
"VC_IQA(A,B)-n1_h4",0.4646225904034687,0.8535425366087525
"VC_IQA(A,B)-n1_h5",-0.3022311442466752,-0.7587661576468866
"VC_IQA(A,B)-n1_c6",0.5775052750239571,0.9937366317175659
"VC_IQA(A,B)-n1_h7",0.21697895650661672,0.9872170210361041
"VC_IQA(A,B)-n1_h8",-0.011452240440419478,-0.3236117862637034
"VC_IQA(A,B)-n1_c9",0.13095233876420367,0.9977743345718117
"VC_IQA(A,B)-n1_h10",0.0690207868834043,0.9638097068062836
"VC_IQA(A,B)-n1_h11",-0.03295114187497786,-0.616155281725282
"VC_IQA(A,B)-n1_c12",1.3213811012761163,0.991946931433812
"VC_IQA(A,B)-n1_h13",0.2571244953599374,0.936030111187926
"VC_IQA(A,B)-n1_h14",-0.38114919239140355,-0.9849005210717804
"VC_IQA(A,B)-n1_n15",-5.034722325548347,-0.9954829898374431
"VC_IQA(A,B)-n1_h16",3.5843922937817023,0.9882916686088118
"VC_IQA(A,B)-n1_n17",-0.23988427365310613,-0.9882471674991473
"VC_IQA(A,B)-n1_h18",0.16526123048003108,0.9808031966578057
"VC_IQA(A,B)-n1_s19",0.1508984769088719,0.6514522463708659
"VC_IQA(A,B)-n1_s20",6.8064923125292776,0.9955492561368615
"VC_IQA(A,B)-n1_c21",0.011772985034499863,0.6301814312187558
"VC_IQA(A,B)-n1_h22",-0.026799333648336105,-0.8640621102591446
"VC_IQA(A,B)-n1_h23",0.007713226084277492,0.742065483719731
"VC_IQA(A,B)-n1_h24",0.009081332306357114,0.958082011551081
"VC_IQA(A,B)-n1_c25",-0.1049212751717469,-0.9942674808577054
"VC_IQA(A,B)-n1_h26",0.06774812352944203,0.9755146977307788
"VC_IQA(A,B)-n1_h27",0.07595427224876253,0.9955613894404581
"VC_IQA(A,B)-n1_h28",0.08775729088505994,0.994906465410681
"VC_IQA(A,B)-n1_o29",-0.1991451513555591,-0.9896016139532829
"VC_IQA(A,B)-n1_o30",-0.03197616306553274,-0.30358142075544975
"VC_IQA(A,B)-n1_o31",-1.6712249249022724,-0.9974709491093644
"VC_IQA(A,B)-n1_o32",-3.817465817725329,-0.9915051245297839
"VC_IQA(A,B)-h2_c3",-0.12067078035307145,-0.8998147018469709
"VC_IQA(A,B)-h2_h4",-0.12414292024695753,-0.8417243888522816
"VC_IQA(A,B)-h2_h5",0.10867031144002434,0.7790028045963425
"VC_IQA(A,B)-h2_c6",-0.08271754882262279,-0.9965235656040846
"VC_IQA(A,B)-h2_h7",-0.056329390660526335,-0.9860675135496679
"VC_IQA(A,B)-h2_h8",0.006182802973458753,0.5021549022628152
"VC_IQA(A,B)-h2_c9",-0.03517502146028169,-0.9932338149363192
"VC_IQA(A,B)-h2_h10",-0.02242764218985001,-0.9593139179134285
"VC_IQA(A,B)-h2_h11",0.012573764570858743,0.6623147350708992
"VC_IQA(A,B)-h2_c12",-0.3136916510024131,-0.9869067649910206
"VC_IQA(A,B)-h2_h13",-0.07376861906655438,-0.9294703781029824
"VC_IQA(A,B)-h2_h14",0.1641035280724729,0.9800765965492594
"VC_IQA(A,B)-h2_n15",1.2417602659471543,0.9950089393967269
"VC_IQA(A,B)-h2_h16",-0.909119663236989,-0.9863670938645605
"VC_IQA(A,B)-h2_n17",0.07957886306484478,0.9632610256496965
"VC_IQA(A,B)-h2_h18",-0.06469359525475372,-0.9686936941504466
"VC_IQA(A,B)-h2_s19",-0.04184001385132734,-0.5421252296642203
"VC_IQA(A,B)-h2_s20",-1.3587702027876039,-0.9923057593529663
"VC_IQA(A,B)-h2_c21",-0.007800677185345127,-0.729599388609916
"VC_IQA(A,B)-h2_h22",0.010723495416109173,0.8582455255525322
"VC_IQA(A,B)-h2_h23",-0.0021778386654075954,-0.5933957349582119
"VC_IQA(A,B)-h2_h24",-0.0029040803181049906,-0.8567889350803418
"VC_IQA(A,B)-h2_c25",0.02309631861443507,0.984653848967877
"VC_IQA(A,B)-h2_h26",-0.013096120550085138,-0.9181192695403
"VC_IQA(A,B)-h2_h27",-0.014325847462735842,-0.9861583665610941
"VC_IQA(A,B)-h2_h28",-0.018457264170993536,-0.989993582626132
"VC_IQA(A,B)-h2_o29",0.07290216868638087,0.9966649571339437
"VC_IQA(A,B)-h2_o30",0.013095705286557804,0.36971850725652616
"VC_IQA(A,B)-h2_o31",0.17096317388232685,0.9189496249171909
"VC_IQA(A,B)-h2_o32",0.8592013958162549,0.9868987198221025
"VC_IQA(A,B)-c3_h4",-0.22617841319036644,-0.7446567499010964
"VC_IQA(A,B)-c3_h5",0.17867295919279258,0.6795403753681728
"VC_IQA(A,B)-c3_c6",-0.03893205214890045,-0.5150056486016107
"VC_IQA(A,B)-c3_h7",-0.06235644785124433,-0.98531499358143
"VC_IQA(A,B)-c3_h8",0.0004051368459680114,0.02892632711650364
"VC_IQA(A,B)-c3_c9",-0.012296958966669125,-0.44033662773894733
"VC_IQA(A,B)-c3_h10",-0.018188982137933192,-0.9473073281209989
"VC_IQA(A,B)-c3_h11",0.012604607377260135,0.7677229250492175
"VC_IQA(A,B)-c3_c12",-0.6364780770937501,-0.9807888183255219
"VC_IQA(A,B)-c3_h13",-0.12820149937066358,-0.9575987714209543
"VC_IQA(A,B)-c3_h14",0.20013220079432695,0.9898112094367524
"VC_IQA(A,B)-c3_n15",1.1892180102068104,0.9913994851724109
"VC_IQA(A,B)-c3_h16",-0.8681317896582936,-0.9892125174171905
"VC_IQA(A,B)-c3_n17",0.017308490304048046,0.21863155400352205
"VC_IQA(A,B)-c3_h18",-0.027678473597121493,-0.6705649332655439
"VC_IQA(A,B)-c3_s19",0.0077969316860393365,0.06207020301445468
"VC_IQA(A,B)-c3_s20",-1.212420613170764,-0.9772827771031453
"VC_IQA(A,B)-c3_c21",-0.004678698386605254,-0.6608141328195191
"VC_IQA(A,B)-c3_h22",0.008545367364457488,0.8992430850212718
"VC_IQA(A,B)-c3_h23",-0.0016779414676067962,-0.45457509797163576
"VC_IQA(A,B)-c3_h24",-0.0023552031173939406,-0.7270526179919844
"VC_IQA(A,B)-c3_c25",0.016605816363676237,0.9317982135295324
"VC_IQA(A,B)-c3_h26",-0.008079332089784673,-0.9397282465623632
"VC_IQA(A,B)-c3_h27",-0.009222984307313116,-0.8675647585790447
"VC_IQA(A,B)-c3_h28",-0.013874760685293981,-0.9065264459333557
"VC_IQA(A,B)-c3_o29",0.0338513330560317,0.4954971057992475
"VC_IQA(A,B)-c3_o30",-0.009439599463026555,-0.19740224867598025
"VC_IQA(A,B)-c3_o31",0.2524327551624544,0.8821661413294953
"VC_IQA(A,B)-c3_o32",0.642074073440106,0.9889091737466421
"VC_IQA(A,B)-h4_h5",0.013832914049861467,0.8770864143423732
"VC_IQA(A,B)-h4_c6",-0.14556087295491735,-0.8326546729735083
"VC_IQA(A,B)-h4_h7",-0.006672453385805439,-0.9332284343350269
"VC_IQA(A,B)-h4_h8",0.0028174273133745823,0.5063533498260616
"VC_IQA(A,B)-h4_c9",-0.07656328993056412,-0.8191127137320144
"VC_IQA(A,B)-h4_h10",-0.007950783191421226,-0.8656971265286709
"VC_IQA(A,B)-h4_h11",-0.007215265895078605,-0.7939170624383343
"VC_IQA(A,B)-h4_c12",-0.19602193557620437,-0.8491981671468497
"VC_IQA(A,B)-h4_h13",-0.042851074817838,-0.9768281951268571
"VC_IQA(A,B)-h4_h14",0.006061849408749092,0.5575417214214621
