,REG,R
"VC_IQA(A,B)-n1_h2",0.6282073215866962,0.9933732859374838
"VC_IQA(A,B)-n1_c3",0.6316335124318945,0.9980105994833928
"VC_IQA(A,B)-n1_h4",0.13561709532156735,0.9198096095685578
"VC_IQA(A,B)-n1_h5",0.02042296776109294,0.13070897594546407
"VC_IQA(A,B)-n1_c6",0.42858985973495045,0.8989460235889084
"VC_IQA(A,B)-n1_h7",0.16443837965185906,0.9346215123628682
"VC_IQA(A,B)-n1_h8",0.0729327546716077,0.9733994047087396
"VC_IQA(A,B)-n1_c9",0.14770567054468353,0.9898379990520619
"VC_IQA(A,B)-n1_h10",0.06455084078774828,0.9661687215276302
"VC_IQA(A,B)-n1_h11",-0.0075820104019683286,-0.36238639388772564
"VC_IQA(A,B)-n1_c12",1.2053219337499568,0.9991832447326527
"VC_IQA(A,B)-n1_h13",-0.0869261436590882,-0.9189337154003456
"VC_IQA(A,B)-n1_h14",-0.004389846882630369,-0.0887519323055652
"VC_IQA(A,B)-n1_n15",-5.034034636507416,-0.9916507544983958
"VC_IQA(A,B)-n1_h16",3.5871041262911962,0.9865355506371212
"VC_IQA(A,B)-n1_n17",-0.3899471933823195,-0.9921979433134248
"VC_IQA(A,B)-n1_h18",0.15859144606641792,0.9867225671580906
"VC_IQA(A,B)-n1_s19",0.5173591727758438,0.9812378704968491
"VC_IQA(A,B)-n1_s20",6.224616167255804,0.9914223059639419
"VC_IQA(A,B)-n1_c21",-0.020737150157026516,-0.9573481359709063
"VC_IQA(A,B)-n1_h22",0.013211193559669389,0.9652229435658561
"VC_IQA(A,B)-n1_h23",0.020782036132451744,0.9891782490905244
"VC_IQA(A,B)-n1_h24",0.01156580623876541,0.9635925994816423
"VC_IQA(A,B)-n1_c25",-0.0968281874308201,-0.9961730706577543
"VC_IQA(A,B)-n1_h26",0.059654232026423316,0.9958169628804481
"VC_IQA(A,B)-n1_h27",0.0638961711289267,0.9956452845421216
"VC_IQA(A,B)-n1_h28",0.0681687284112847,0.9941715051476517
"VC_IQA(A,B)-n1_o29",-0.2646866407447245,-0.9899712802991747
"VC_IQA(A,B)-n1_o30",-0.1798884958083165,-0.9363778270423473
"VC_IQA(A,B)-n1_o31",-1.6981029283827709,-0.9890719399921761
"VC_IQA(A,B)-n1_o32",-3.1493992822923267,-0.9932644613406876
"VC_IQA(A,B)-h2_c3",-0.10677087362502215,-0.9806117692790254
"VC_IQA(A,B)-h2_h4",-0.043243688420623885,-0.9204396645155105
"VC_IQA(A,B)-h2_h5",-0.0009144272981669059,-0.01781172644702673
"VC_IQA(A,B)-h2_c6",-0.07076340777094414,-0.8775586814285016
"VC_IQA(A,B)-h2_h7",-0.04568566185446519,-0.9254330487041855
"VC_IQA(A,B)-h2_h8",-0.023815832288249413,-0.9761005596353864
"VC_IQA(A,B)-h2_c9",-0.07232182368470716,-0.9895020867223732
"VC_IQA(A,B)-h2_h10",-0.024299279119141277,-0.9613033772065578
"VC_IQA(A,B)-h2_h11",0.000680942831081564,0.11316556679331272
"VC_IQA(A,B)-h2_c12",-0.25786968386297504,-0.9990197969182345
"VC_IQA(A,B)-h2_h13",0.033220900065206865,0.955500963358247
"VC_IQA(A,B)-h2_h14",0.0024826078110339457,0.16426234885432814
"VC_IQA(A,B)-h2_n15",1.1562094952457456,0.9910283225463459
"VC_IQA(A,B)-h2_h16",-0.794410093342158,-0.9883635172730065
