,E_IQA_Intra(A)-n1,E_IQA_Intra(A)-h2,E_IQA_Intra(A)-c3,E_IQA_Intra(A)-h4,E_IQA_Intra(A)-h5,E_IQA_Intra(A)-c6,E_IQA_Intra(A)-h7,E_IQA_Intra(A)-h8,E_IQA_Intra(A)-c9,E_IQA_Intra(A)-h10,E_IQA_Intra(A)-h11,E_IQA_Intra(A)-c12,E_IQA_Intra(A)-h13,E_IQA_Intra(A)-h14,E_IQA_Intra(A)-n15,E_IQA_Intra(A)-h16,E_IQA_Intra(A)-n17,E_IQA_Intra(A)-h18,E_IQA_Intra(A)-s19,E_IQA_Intra(A)-s20,E_IQA_Intra(A)-c21,E_IQA_Intra(A)-h22,E_IQA_Intra(A)-h23,E_IQA_Intra(A)-h24,E_IQA_Intra(A)-c25,E_IQA_Intra(A)-h26,E_IQA_Intra(A)-h27,E_IQA_Intra(A)-h28,E_IQA_Intra(A)-o29,E_IQA_Intra(A)-o30,E_IQA_Intra(A)-o31,E_IQA_Intra(A)-o32
20,-142391.93975282498,-1011.91123294291,-98513.676852615,-1200.912134182455,-1205.3957077525802,-98521.01804467099,-1194.090761090735,-1208.33091010477,-98530.962372718,-1199.303403270875,-1195.286287609205,-98524.3281648,-1199.996616398825,-1183.35295824071,-142210.154480653,-977.59288188401,-142193.9463318495,-984.580747146235,-1038118.048165355,-1038148.3947708099,-98839.003082715,-1193.56221924402,-1192.839760277745,-1193.30994660624,-98836.621717458,-1193.778795977625,-1193.01144920542,-1193.2403580438,-196131.32717676298,-196119.073905251,-196108.35810028398,-196129.149907374
21,-142388.250773046,-1012.62270747356,-98515.4605359245,-1200.86964821018,-1204.8116669579,-98523.148354367,-1188.49281368435,-1209.023938528795,-98531.1850019905,-1199.521421272705,-1195.123409938295,-98527.2427664815,-1199.64729569797,-1181.77635299964,-142202.396711014,-977.353134955375,-142190.997966238,-984.7206960368401,-1038113.5990193101,-1038135.5676542651,-98838.7513576515,-1193.4959131867,-1192.94829227782,-1193.410905929175,-98836.638536411,-1193.8754703007749,-1192.89896963482,-1193.19943416526,-196131.48998664352,-196119.06905070148,-196103.5784484225,-196128.6097081235
22,-142394.204073292,-1016.240325716225,-98531.03246831699,-1199.336048527835,-1199.49996025192,-98519.2927052225,-1203.712039741235,-1208.3844979775401,-98530.04683461301,-1201.63674164789,-1190.06969108475,-98522.51721829851,-1196.198491171675,-1192.9081109956999,-142151.678830055,-980.064322926285,-142177.2349823415,-981.435776690825,-1038096.359697505,-1038045.6141385251,-98838.2562776185,-1192.341714742495,-1192.94480451111,-1193.93774503412,-98836.81459456451,-1195.51417925012,-1193.254700283885,-1193.47259827411,-196129.83884907598,-196116.27336579148,-196111.208663395,-196128.047244633
23,-142392.5678800705,-1015.9804515208051,-98531.286832008,-1197.572645367985,-1201.129078171,-98519.489389304,-1203.478632003585,-1208.400312125435,-98530.082830218,-1201.1506667910849,-1191.8746505535798,-98523.7998380605,-1195.762225279235,-1192.76585925279,-142154.8208840525,-979.692056116825,-142184.5905148785,-982.56863622625,-1038108.02303492,-1038051.893336835,-98838.62340916,-1192.703685548685,-1192.842685242275,-1193.68702769003,-98836.931773255,-1195.493656005425,-1193.270630190075,-1193.39868141739,-196130.113738926,-196116.998410744,-196112.3446306035,-196128.2003874225
24,-142390.4111158365,-1015.796790916995,-98530.61062398099,-1195.824690597625,-1202.951661492365,-98519.53473431451,-1203.2632448315198,-1208.47992030476,-98530.15395501301,-1200.852139302035,-1192.68032041028,-98523.774929942,-1194.412993484145,-1193.680898276495,-142157.6139539645,-979.426397131,-142188.50744581848,-983.1441879130149,-1038114.5252169451,-1038057.82347492,-98838.8368596845,-1192.84433838835,-1192.7670782724401,-1193.56912793221,-98836.8937008795,-1195.42360496116,-1193.27587291975,-1193.484156591525,-196130.28133771848,-196117.33286268698,-196112.61445586398,-196128.172953573
25,-142387.499402205,-1015.497820611115,-98529.309862014,-1194.3014449421,-1204.494185905585,-98519.2472158095,-1203.044270911395,-1208.5857106789701,-98530.22837743601,-1200.565277172035,-1193.394766560595,-98522.270759988,-1193.416654198875,-1195.281045168335,-142152.461029517,-978.3295108838249,-142191.70638127349,-983.650348343665,-1038119.3225568,-1038047.385143295,-98838.927694108,-1192.992899391545,-1192.6823946340448,-1193.474407532415,-98836.90080285701,-1195.45045269404,-1193.2908626869,-1193.491520488905,-196130.390744929,-196117.6029399955,-196111.97305934152,-196128.0546459175
26,-142383.97293299952,-1015.15914836065,-98527.84955366299,-1192.66433410835,-1205.85274460564,-98518.8469635855,-1202.7908627711201,-1208.70856139465,-98530.2994891035,-1200.3058581595499,-1193.9815335957098,-98520.42999305749,-1193.73157670144,-1197.0221358577498,-142144.683610636,-976.378926587215,-142194.402415331,-984.11445438173,-1038124.4333551,-1038030.287309685,-98839.05782439001,-1193.1120519854549,-1192.58724107926,-1193.38610700522,-98836.918335946,-1195.618249265455,-1193.29133848001,-1193.379801420635,-196130.4558021935,-196117.8372658705,-196111.2320697275,-196127.99455084797
27,-142379.959895632,-1014.77399517711,-98526.2579624355,-1192.26840377241,-1207.083439880395,-98518.4361936085,-1202.51829071252,-1208.8659223387049,-98530.4112881445,-1200.32091634723,-1193.89462466228,-98519.464457556,-1192.88573900518,-1199.001342121375,-142146.6323276245,-974.99438315613,-142195.321954698,-984.156808973985,-1038125.41802262,-1038033.669846355,-98839.04404839149,-1193.132835443455,-1192.5496042479551,-1193.391115330255,-98836.7894265215,-1195.6180799732151,-1193.36841234295,-1193.524428295865,-196130.3928794605,-196117.74522896798,-196110.809109554,-196128.007069232
28,-142375.128776094,-1014.2967824855149,-98525.28169388999,-1191.984041932315,-1208.3103609463901,-98518.368169529,-1202.241212376995,-1208.93699354725,-98530.63417734149,-1200.227097859195,-1193.906052807405,-98519.00423366099,-1193.283113707435,-1200.6176816269349,-142148.1391073255,-972.128057041975,-142197.4094766205,-984.26188933423,-1038128.6666062799,-1038036.351374525,-98838.9697309885,-1193.1915822399399,-1192.461190745495,-1193.3832627485601,-98836.7220404385,-1195.757811393655,-1193.451205253775,-1193.4715655074301,-196130.28744463148,-196117.6955991415,-196110.84936372002,-196128.234505795
29,-142369.303195921,-1013.736268796335,-98525.303459285,-1192.92137691206,-1209.25933600162,-98518.2293724715,-1201.897872276335,-1208.941849383245,-98530.871819223,-1200.0311816051699,-1194.09469322332,-98520.847177131,-1192.911919834805,-1201.914130527555,-142154.139973755,-968.08203937746,-142199.63737615148,-984.472160824565,-1038133.006373995,-1038051.63317604,-98839.1498980495,-1193.26463667242,-1192.357690174855,-1193.32286023301,-98836.641660756,-1195.8591824212451,-1193.57275957632,-1193.48082296792,-196130.2258188955,-196117.7500467605,-196112.31705497697,-196128.813328776
30,-142362.578056436,-1013.28184224163,-98525.9596216195,-1194.710333302015,-1209.665913501455,-98518.29429321,-1201.326794415315,-1208.8895294957,-98531.038617238,-1199.642534064915,-1194.5428114629199,-98525.247021537,-1190.564484334385,-1202.903587379635,-142168.6312293435,-962.66827602082,-142203.5179281635,-984.988152177415,-1038139.35018586,-1038089.6889058701,-98839.292039994,-1193.32103918621,-1192.25662126355,-1193.1703177115749,-98836.5899147765,-1195.81517140104,-1193.71718155753,-1193.7273929671899,-196130.31866182652,-196117.9694807995,-196114.286915117,-196129.7315685205
31,-142355.32886452548,-1012.49583464941,-98527.876396775,-1196.109007357885,-1209.4507611541098,-98518.221073266,-1200.80494150244,-1208.787846427435,-98531.470737781,-1199.375096171565,-1194.639650431175,-98530.086490165,-1188.41020038398,-1203.262439301865,-142175.9579286395,-955.28710668405,-142206.24101274752,-985.3033108699601,-1038144.355097745,-1038116.0295496801,-98839.766378577,-1193.2475333252598,-1192.14920202914,-1193.067235173045,-98836.3917472875,-1195.902305576115,-1193.86210159609,-1193.89324764004,-196130.364841746,-196118.02799794349,-196116.69654388152,-196130.539054173
32,-142348.64795946452,-1011.9163768487649,-98529.66050541551,-1196.973390115865,-1208.65090867027,-98517.494492396,-1200.442477916155,-1208.7296862726698,-98531.827075892,-1199.21093555008,-1194.615067034515,-98535.32584344699,-1186.249237371615,-1202.98495112579,-142177.738912935,-947.98927990653,-142209.284332192,-985.799160988365,-1038149.2993605799,-1038130.05397299,-98840.1009329145,-1192.883471807165,-1192.03454959474,-1192.940750397795,-98836.37595490499,-1196.0871189582099,-1193.940710982705,-1193.8431421779599,-196130.54057696302,-196118.31474980252,-196119.16994079002,-196131.89127331448
33,-142342.877291624,-1004.254435544305,-98538.01956706449,-1196.7168236566201,-1205.3106675450301,-98521.94688881001,-1189.010420376075,-1208.18563651638,-98532.7181679665,-1199.026719521745,-1194.570853246945,-98534.31604201549,-1184.717619442925,-1201.4333210847449,-142208.680603718,-952.547715670905,-142197.0288106265,-984.8445015943599,-1038128.248915485,-1038238.04593397,-98839.09372547701,-1193.8321833934701,-1192.48265838254,-1193.33339436913,-98837.112780476,-1194.3034770790998,-1193.78531333504,-1194.3948104788751,-196130.624923776,-196118.0270107555,-196119.261145409,-196125.10301418402
34,-142340.8463544775,-1002.0267546911999,-98537.0710211735,-1197.930783364255,-1203.511038182515,-98522.0306553875,-1189.601371749305,-1207.75241347342,-98533.49974518499,-1198.63138099976,-1194.329333239395,-98535.351725626,-1184.862492432525,-1200.4600461605999,-142171.0605677365,-947.3796658754351,-142199.1159518515,-985.418954089295,-1038131.57287725,-1038169.91667694,-98839.1484382715,-1193.455063741085,-1192.433633077415,-1193.2861362618,-98837.1049118525,-1195.150207366595,-1193.81990219714,-1193.796748043915,-196130.857285777,-196118.3551877535,-196118.1729150415,-196124.3273863485
35,-142337.408889722,-1001.2159138072301,-98535.9949547475,-1199.173204253285,-1202.18106293339,-98523.0744911755,-1190.48678699396,-1207.7697314552051,-98534.115220146,-1198.68125189967,-1193.5368520305901,-98539.126154928,-1181.983139716335,-1200.027704734285,-142148.302962155,-943.04198661441,-142198.80621374,-985.7355833243901,-1038130.89455307,-1038133.46854076,-98839.2452667115,-1193.144688683285,-1192.39430201096,-1193.286130459445,-98837.176564373,-1195.36431707538,-1193.81373999111,-1193.68007704635,-196131.03126190903,-196118.53528392597,-196117.0470323785,-196125.3342603475
36,-142336.00134341902,-1001.92840220096,-98533.565750255,-1200.260664404105,-1201.500497232765,-98524.533016812,-1190.57427222464,-1207.90277764376,-98535.071752808,-1198.632597577695,-1192.549582351285,-98542.027206404,-1182.531440629715,-1199.977655247865,-142133.355565324,-940.19596309793,-142203.689717254,-986.9975951430649,-1038139.10611938,-1038104.9984589199,-98839.936600244,-1192.40369095649,-1192.3728565593901,-1193.18730125717,-98837.872647435,-1195.663652141975,-1193.65298115121,-1193.14841870488,-196131.607737693,-196119.23909646002,-196114.55132922198,-196127.970275475
