,REG,R
E_IQA_Intra(A)-G6,-0.5533334242303142,-0.6833490736118655
E_IQA_Intra(A)-G7,-0.5458681785023183,-0.8184315920532242
E_IQA_Intra(A)-G5,-0.37850164155945565,-0.6973527830286526
E_IQA_Intra(A)-G4,-0.001957809502123094,-0.022560891727523045
E_IQA_Intra(A)-G8,-1.1260808091638044,-0.9670270874989895
E_IQA_Intra(A)-G9,-4.431928377819878,-0.7111302915585533
E_IQA_Intra(A)-G3,-0.5545695141691682,-0.8970964691145477
E_IQA_Intra(A)-G2,-0.7865720278086293,-0.8801356784953963
E_IQA_Intra(A)-G10,-6.6519742637470385,-0.6217391662532515
E_IQA_Intra(A)-G1,0.006540814890440621,0.254280314043855
E_IQA_Intra(A)-G11,-0.11407990796001596,-0.6339697327484997
