,REG,R
E_IQA_Intra(A)-G6,1.2427644064767114,0.8134361123725732
E_IQA_Intra(A)-G7,-0.23573815763652312,-0.938509550932087
E_IQA_Intra(A)-G5,0.27724366407419915,0.7502840235974843
E_IQA_Intra(A)-G4,-0.07872123834271852,-0.8534545874064517
E_IQA_Intra(A)-G8,-0.0031923486130763126,-0.01899042677307969
E_IQA_Intra(A)-G9,2.3207674867766217,0.49523552327971815
E_IQA_Intra(A)-G3,0.14354516947187482,0.39415588275791136
E_IQA_Intra(A)-G2,0.3226195565216173,0.5567997063936955
E_IQA_Intra(A)-G10,-1.6817812688480946,-0.35859612946646446
E_IQA_Intra(A)-G1,-0.032683725365257696,-0.881642499801328
E_IQA_Intra(A)-G11,0.0253031061560034,0.7663950522759548
